Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,50,0.33628042102040817,49
55,150,0.07357472636363638,143
54,71,0.01808449785714286,56
53,37,0.03452208499999998,30
52,28,0.03028777928,25
51,113,,
50,88,0.011093222631578921,76
49,137,0.015191944862595423,131
48,141,0.02580589272307693,130
47,215,0.008034628897959185,196
46,170,0.006768322721854304,151
45,56,0.001992579111111102,36
44,1214,0.003947639495450783,1209
43,145,0.0013111154545454508,11
42,603,,
41,76,0.002627974999999949,4
40,1,,
39,3,,
38,1,,
37,7,0.0015149799999999436,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0,2
31,53,0.00021094461538462284,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
