Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,,
55,153,0.029828258750949323,148
54,68,0.018285205650427846,58
53,35,0.010700312921695527,30
52,26,0.016160065647271266,23
51,113,0.01591523377498596,111
50,92,0.015465254107927739,78
49,125,0.011824736407388342,121
48,154,0.009891870648348363,133
47,207,0.007346772398106078,191
46,183,0.005858673427729651,159
45,50,0.007086573414841333,38
44,1205,0.004325621261694259,1202
43,150,0.004313278190574455,9
42,607,0.004682078568313145,605
41,74,0.004231952939345696,4
40,1,,
39,3,,
38,1,,
37,7,0.002678298964675585,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.007967629142313526,2
31,52,0.002773818120972109,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
