Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,,
55,148,0.3951289280765577,139
54,76,0.43497717851309486,57
53,37,0.46164310264958247,31
52,24,0.5745903678743784,22
51,120,0.4055635083795388,117
50,87,0.4318740838995367,79
49,132,0.46724085450241876,129
48,143,0.5348817025401729,130
47,210,0.5082398374532876,191
46,183,0.5493315320195156,159
45,49,0.5079450109816244,37
44,1204,0.30909616860967026,1200
43,154,0.34254806827111217,11
42,610,,
41,69,0.4929421651184146,4
40,1,,
39,3,,
38,1,,
37,7,0.04150756834652192,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.5211369688515112,2
31,53,0.2909061574298698,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
