Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,49,,
55,150,0.0653217976923077,143
54,71,0.026934523928571444,56
53,35,0.03228928214285716,28
52,27,0.013850007272727265,22
51,117,0.016830365789473695,114
50,86,0.01112995253333333,75
49,134,0.01703764715748032,127
48,153,0.01981806669565216,138
47,203,0.006573285854166661,192
46,175,0.005348443585526308,152
45,57,0.004320523447368409,38
44,1204,0.004133846910907577,1201
43,151,0.0009617711111110957,9
42,617,0.0021658117073170774,615
41,64,0.0017537999999999165,4
40,1,,
39,3,,
38,1,,
37,7,0.0015149799999999436,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.00013609999999997235,2
31,53,0.00026096230769231954,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
