Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,0.4987986931727829,49
55,150,0.10479622172122498,143
54,65,0.04113441860743382,50
53,41,0.05218862115736592,28
52,25,0.03360646155285391,20
51,120,0.04115871483617908,115
50,84,0.09467240226206936,74
49,132,0.04498545802153554,124
48,149,0.03970134092235751,131
47,215,0.033921585756297286,197
46,172,0.027132763513612105,154
45,53,0.026959386886164942,36
44,1217,0.019201401832024824,1212
43,141,0.015413733199075238,10
42,620,0.022455123354801012,619
41,60,0.10506959570692248,4
40,1,,
39,3,,
38,1,,
37,5,,
36,27,0.019111908529171887,25
35,6,,
34,13,,
33,16,,
32,12,0.03331750511490461,2
31,54,0.01224128596989129,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
