Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1731.4983063517138,7
55,157,3252.0331165599637,1
54,65,7055.631473671179,2
53,33,,
52,25,,
51,125,,
50,75,10004243.515667534,44
49,136,1168498.8648287416,77
48,155,58658014640.227066,64
47,221,1336666127929981.8,8
46,172,4.601820820796176e+18,1
45,40,2.197222510158989e+19,2
44,1344,,
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,28.0,,
35,2,,
34,13,7.209189100235331e+19,8
33,16,2.094142974212123e+20,14
32,13,2.0108539957492095e+20,2
31,54,1.709855617074648e+20,8
30,7,4.676455046934587e+19,2
29,9,,
28,4,6.011016401422826e+18,1
27,13,2.5617503677223055e+19,1
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
