Iteration,SampleCount,S_HZ_CON0_MAX,S_HZ_CON0_MAX_Weight
56,48,,
55,148,2.770402954662846e-15,140
54,73,1.1520037449227774e-12,55
53,34,1.9556437350930746e-08,26
52,27,1.432355665534346e-07,20
51,117,0.14832647642423655,112
50,88,0.7661280997800525,75
49,136,0.7702391147110921,129
48,145,0.8818998184639599,132
47,213,0.8458008327155793,196
46,175,0.9256553661328477,156
45,54,0.8724924669466696,39
44,1199,0.5194252991021093,1197
43,157,0.5643059600435709,11
42,623,,
41,55,0.847495359748321,3
40,2,,
39.0,3.0,,
38.0,1.0,,
37,7,0.09941407079390707,2
36.0,27.0,,
35,4,,
34,13,,
33,16,,
32,12,0.9080172372171678,2
31,52,0.5256275613418414,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
