Iteration,SampleCount,S_TIDAL_LOCK,S_TIDAL_LOCK_Weight
56,49,0.034688221900767896,48
55,146,0.04335664201392267,138
54,77,0.803556925609972,57
53,31,0.25826008658733346,25
52,30,0.8454102085218038,22
51,117,2.187728695951286,114
50,84,130387849.17500107,73
49,136,1.0461109963511939,127
48,152,2.933512304805294,137
47,199,0.8086706228668623,187
46,188,0.16272914330803953,159
45,46,0.07439823061318952,34
44,1218,0.05911154730448344,1211
43,141,0.021881922201607642,9
42,676,3.068678131118441e-05,1
41.0,3.0,,
40,2,0.09584864973186674,1
39.0,2.0,,
38,2,0.009228828810852463,1
37,6,0.05094197409817808,4
36,29,,
35,3,,
34,12,,
33,11,0.04137577898035902,9
32,18,0.041917239489384195,10
31,56,0.03213333827702359,27
30,5,,
29,8,,
28,5,0.0313348221654709,4
27,12,,
26,6,0.06910631448465898,5
25,65,0.09666280395452682,64
24,3,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
