Column,Mean_Error
P_MASS,163.58411712670662
P_RADIUS,6.316665804596251
P_GRAVITY,6.320578789368857
P_DENSITY,1.6923351467988117
P_ESI,0.1031637245878048
P_RADIUS_EST,0.8985453063533045
P_MASS_EST,301.5291276230356
P_SEMI_MAJOR_AXIS_EST,0.5391404377336135
P_ESCAPE,184.6045170336923
P_POTENTIAL,26706597.49060503
P_HILL_SPHERE,633421.9420582113
P_DISTANCE_EFF,1.0177956652331093
P_PERIOD,317643.81665459916
P_SEMI_MAJOR_AXIS,0.20121354129669808
P_ECCENTRICITY,0.6776629615650898
P_INCLINATION,416.88308667670645
P_OMEGA,12884.066918766588
P_TPERI,2.156902375357347e+19
P_ANGULAR_DISTANCE,750.8665910794805
P_IMPACT_PARAMETER,5979786.582499234
P_DISTANCE,0.18433838358597537
P_PERIASTRON,0.625862799294404
P_APASTRON,0.4132318203755598
P_FLUX,1402.0139365935615
P_TEMP_EQUIL,308.0757997521909
S_TEMPERATURE,165655360.5067276
S_MASS,0.17552197598908145
S_RADIUS,1.6996825332233703
S_AGE,2500813.7475307523
S_LOG_G,1.3656409001856828
S_RADIUS_EST,0.8662668285164974
S_DISTANCE,425.077111541461
S_MAG,3.1238437342710563
S_METALLICITY,0.42316556800121063
S_LUMINOSITY,0.6497498210547468
S_HZ_OPT_MIN,0.17346771073464923
S_HZ_OPT_MAX,12914.322456613785
S_HZ_CON_MIN,2672.6575968618395
S_HZ_CON_MAX,0.5680197441212588
S_HZ_CON0_MIN,0.2893440093752146
S_HZ_CON0_MAX,0.5707624104535484
S_HZ_CON1_MIN,0.2653641663265421
S_HZ_CON1_MAX,0.5550790997403876
S_SNOW_LINE,13239529.223973848
S_ABIO_ZONE,1804.9302659400535
S_TIDAL_LOCK,0.3088835709167393
