Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,48,585.1286400329244,47
55,154,845.8128825964133,145
54,69,1975.1072711157121,56
53,35,455.7972713611661,28
52,25,378.62170570460796,20
51,114,301.4533766836591,109
50,87,40112838825.36441,71
49,141,27177.073903749657,130
48,151,270693.5995252188,139
47,203,15380.145400986003,193
46,166,2761.1722113187448,144
45,64,243.15937466156888,37
44,1210,388.91558418267346,1206
43,146,178.54565490738972,9
42,620,571.591788412062,618
41,61,604.4934850147549,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,28.0,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
