Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,0.6451907199164579,48
55,153,0.12084844055440483,145
54,63,0.12342998115743363,50
53,44,0.15277359854185546,31
52,25,0.574319392275459,23
51,117,0.15780052388914176,115
50,84,11069794.826916443,74
49,139,98.26444510660639,131
48,134,108197.48825244802,123
47,218,8815.106438868524,192
46,184,7229.821230861473,161
45,47,5563.095903969764,37
44,1212,8905.95777674106,1208
43,145,4759.878434072102,10
42,612,6428.583861518172,611
41,68,9549.46606276942,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,6650.207506279609,2
36.0,26.0,,
35,5,,
34,13,,
33,16,,
32,12,7953.3630938905335,2
31,53,6688.9963696944305,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
