Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,1283.920000000298,5
55,161,1682.0777401129405,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,77,2028.5868080708542,46
49,135,3691.7363755700403,78
48,150,2581.5936940355614,60
47,226,1549.4354419713427,9
46,171,820.0334595334716,1
45,40,851.2140444647521,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3872.9914100575843,8
33,16,5861.59279139463,14
32,12,3215.8776750932448,1
31,56,5753.237905755949,9
30,6,4475.365962430835,2
29,9,,
28,4,565.5329725062475,1
27,13,3989.5306181712076,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
