Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1133.6317566437065,8
55,156,2261.069212554954,1
54,64,2785.0563239725307,1
53,34,,
52,25,,
51,125,,
50,77,2066.730625858105,46
49,134,3288.355679726573,77
48,152,2205.2162007826428,61
47,224,777.7236684057862,8
46,171,,
45,42,768.8301150615638,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,3111.503502856125,8
33,16,4808.552936181526,14
32,13,3455.7644561605994,2
31,55,4945.505736457442,9
30,6,4453.996203632094,2
29,9,,
28,4,3652.2910232571885,1
27,13,2073.106202163268,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
