Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,5544.929872066365,8
55,158,9536.590069001075,3
54,63,4365.109055963578,2
53,33,,
52,25,,
51,125,,
50,72,7463.451864351723,41
49,139,4636.397822340624,77
48,151,3754.3789101342204,60
47,225,4584.488688805315,8
46,172,233.21439305134118,1
45,41,4023.760101016766,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,6039.626873634394,9
33,16,5149.952196208356,15
32,12,5011.655010203365,2
31,55,5822.721483428652,9
30,6,8533.3006994694,2
29,9,,
28,4,3707.430658331141,1
27,13,2217.4322374113835,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
