Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,5101.967818432488,7
55,158,8910.020439632004,2
54,64,1669.0237148248125,2
53,33,,
52,25,,
51,125,,
50,76,7963.4324993288865,45
49,139,4949.070238464391,81
48,146,4140.861463497322,59
47,226,3825.5324989002547,8
46,171,,
45,41,3189.759846299421,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,3807.4776578117826,7
33,16,6462.716072708225,13
32,14,4397.978603629861,2
31,56,5508.898046302376,10
30,5,10156.446751168929,2
29,9,,
28,4,17594.853441894054,1
27,13,7769.744028907735,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
