Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,53,4846.935513689928,5
55,161,19860.0943790668,3
54,63,11461.298402980668,2
53,33,,
52,25,,
51,125,,
50,73,10183.26679025412,42
49,136,5612.942077657096,75
48,160,6330.415014062292,67
47,217,4557.147907793323,7
46,173,2581.5621175337583,1
45,41,8825.613728976963,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3409.2736038074945,8
33,16,9194.652372745897,14
32,13,6104.556683032773,2
31,54,2094.632036894851,8
30,7,7054.682991928188,2
29,9,,
28,4,7947.4712177328765,1
27,13,1586.9223584472202,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
