Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1379.9250000002794,8
55,157,1810.6999999999534,2
54,64,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,77,1697.3195652173447,46
49,133,3759.5403017974336,76
48,156,2421.7882853051487,64
47,220,2342.3445976956614,7
46,173,5274.704040385783,1
45,40,2198.397925103316,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,2952.403688105638,8
33,14,5841.609301528854,12
32,15,5515.574011082761,2
31,54,4772.213900572155,8
30,7,4320.861113857711,2
29,9,,
28,4,6635.558914074209,1
27,13,4225.642335364129,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
