Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,968.7749999999651,8
55,158,1348.699999999876,3
54,62,3050.1999999997206,1
53,34,,
52,25,,
51,125,,
50,74,2165.962790697683,43
49,139,3434.483544303829,79
48,152,3265.6825396825766,63
47,222,2064.0999999999767,8
46,172,467.0,1
45,41,2070.5000000007763,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3288.9749999999185,8
33,13,4665.936363636304,11
32,16,2167.0500000000466,2
31,55,3749.2444444446205,9
30,6,583.3000000000466,2
29,9,,
28,4,2853.7999999998137,1
27,13,2150.7000000001863,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
