Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,855.4525345902075,8
55,157,2055.678356036544,2
54,64,1666.422795055434,2
53,33,,
52,25,,
51,125,,
50,77,2459.9796054839744,46
49,139,3209.2154176620334,82
48,144,2393.6412480533413,58
47,227,863.0891016573878,8
46,172,1182.4367330125533,1
45,41,1151.6510706588936,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,2949.5935561203264,7
33,14,5833.74569396374,11
32,16,3189.4518344753888,2
31,56,4962.648755276762,10
30,5,4913.219902083976,2
29,9,,
28,4,3307.7713574953377,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
