Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1294.9333333334487,7
55,159,1686.3174863386278,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,77,1878.1822697325792,46
49,135,3871.3686228130873,78
48,151,2240.0768188669913,61
47,223,1621.1762594252027,7
46,173,863.503250638023,1
45,40,894.6483500250615,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,4041.492706643351,7
33,17,6217.319638064031,14
32,13,2098.5,2
31,55,5413.471820150502,9
30,6,4520.611539062113,2
29,9,,
28,4,520.3136708904058,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
