Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1133.6317566437065,8
55,157,1713.0775213460438,2
54,63,2817.6260079611093,1
53,34,,
52,25,,
51,125,,
50,78,2200.9057630006164,47
49,133,3283.6698194385035,77
48,153,2304.6493799106383,62
47,223,1215.8565168481437,8
46,172,989.9934073570184,1
45,41,767.7068929627227,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,3308.2728342050023,7
33,15,2200.4404374742103,12
32,15,2176.2259787744842,2
31,56,4734.956157424487,10
30,4,5650.05101955682,1
29,10,,
28,4,4043.1782866525464,1
27,13,2859.980157379061,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
