Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1400.8500000001598,7
55,159,1772.2166666666355,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,75,1645.9340909090295,44
49,134,3935.8506034847846,75
48,157,2706.58209719562,64
47,221,2621.0420359176933,8
46,172,4706.012267407961,1
45,41,3484.9639594410546,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,2787.007420027454,8
33,16,5155.944327253815,14
32,13,5440.039043022087,2
31,53,4138.042341426547,7
30,8,3352.9361375423614,2
29,9,,
28,4,5658.239504468162,1
27,13,7812.16665101843,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
