Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1379.9250000002794,8
55,156,2433.3499999996275,1
54,64,1188.8500000000931,1
53,34,,
52,25,,
51,125,,
50,78,1707.4691489361267,47
49,136,3860.8945550471894,80
48,146,2307.873723817467,58
47,227,1970.695892315649,8
46,172,2565.552562048193,1
45,41,1802.4028985149537,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,2460.436058404959,9
33,14,5125.301543420073,13
32,13,915.6072806501761,1
31,55,3801.558815323806,8
30,7,4286.404353365535,2
29,9,,
28,4,1851.8046739795245,1
27,13,59.49466938059777,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
