Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1543.699999999876,6
55,160,1776.2666666666046,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,80,1635.5224489795462,49
49,135,3805.6434928544936,81
48,145,2340.9822299781595,58
47,223,1267.7035269933986,4
46,176,4912.153243246023,1
45,41,1904.662355642921,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,2614.8781523462967,8
33,16,4647.450411298013,14
32,12,6232.994199119974,1
31,56,4222.118440939424,9
30,6,4724.551709041698,2
29,9,,
28,3,,
27,14,283.570829609409,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
