Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,1471.370000000205,5
55,161,1760.950000000031,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,78,1568.1627659573953,47
49,136,3667.1632488089963,80
48,151,2427.3756659185174,63
47,220,2118.4664497577273,6
46,174,6509.226792671252,1
45,41,2935.0676106032915,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,2627.4709009760327,7
33,14,5109.949802134355,11
32,16,6132.982738220366,2
31,55,4257.91263432211,9
30,6,5821.920538313221,2
29,9,,
28,4,7219.428049922921,1
27,13,6291.006245627999,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
