Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,2347.904744446411,7
55,158,2551.9468188646715,2
54,64,5851.98808640847,2
53,33,,
52,25,,
51,125,,
50,77,871254.7645399342,46
49,133,295783.67309605965,76
48,153,511500341974110.9,61
47,224,1.1790130081766728e+19,8
46,171,,
45,42,1.022225866490981e+22,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,4.626455498868857e+21,9
33,15,5.600154440267114e+21,14
32,13,1.678431181966202e+21,2
31,55,2.182698966926969e+21,9
30,5,5.459880793552413e+21,1
29,10,,
28,4,1.3842949737276776e+21,1
27,13,7.129663949852093e+21,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
