Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,1869.036848037038,6
55,160,2911.079164492587,3
54,63,4671.975177482702,2
53,33,,
52,25,,
51,125,,
50,78,2551787.715119944,47
49,132,589323.0749012149,76
48,154,29434111.2790627,62
47,223,1709143435691.2478,8
46,172,1273675137538.6677,1
45,41,1860220221830.9292,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,46929457912600.58,7
33,15,47702883694009.67,12
32,15,95823268524363.78,2
31,55,463657896888742.5,9
30,6,492695310877489.5,2
29,9,,
28,3,,
27,14,229847255532644.28,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
