Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1145.832005811312,6
55,160,1147.70790124995,3
54,61,,
53,35,,
52,25,,
51,125,,
50,76,8812724.922495302,45
49,137,3545694.9818822085,79
48,150,920389603491253.4,61
47,225,4.035875218789367e+19,9
46,171,2.233374146132072e+22,1
45,41,2.4716351969162263e+22,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1.7835691082030176e+21,9
33,15,9.645174816910085e+22,14
32,13,5.69896707598873e+21,2
31,53,4.4856459027585386e+21,7
30,7,1.0850255889320198e+22,1
29,10,,
28,4,2.5446767405158696e+22,1
27,13,2.682160158320942e+21,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
