Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1133.6317566437065,8
55,158,1494.8694168810423,3
54,63,1548.2015399180818,2
53,33,,
52,25,,
51,125,,
50,75,2302.2359734014503,44
49,135,3329.318167028783,76
48,154,2288.674578185336,62
47,224,1039.1746584397947,9
46,170,,
45,40,442.69305402599275,1
44,1345,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3057.756211564527,8
33,15,4988.45590316583,13
32,14,3593.0601190384477,2
31,55,4875.902214014489,9
30,6,4606.896322763292,2
29,9,,
28,4,3227.6742617241107,1
27,13,1634.8106443765573,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
