Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1153.5857142855946,7
55,159,1213.299999999969,3
54,63,1909.1499999999069,2
53,33,,
52,25,,
51,125,,
50,79,2459.6833333333393,48
49,135,3581.378749999986,80
48,151,3696.2539682539905,63
47,220,2142.099999999938,6
46,174,450.0,1
45,41,2423.900000000062,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,10,2540.1333333333023,6
33,15,3799.7818181818266,11
32,15,1746.0,1
31,54,3809.557142857063,7
30,8,1309.25,2
29,9,,
28,4,236.89999999990687,1
27,13,1832.7999999998137,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
