Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1025.9454309310531,8
55,158,2502.0423981354884,3
54,61,,
53,35,,
52,25,,
51,125,,
50,77,17301348.495488685,46
49,137,1747444.7124663906,80
48,148,182615639646.5307,60
47,225,13688540775200.914,8
46,172,1.2525676538264882e+17,1
45,40,377583379057584.1,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,3.615420329598836e+16,7
33,16,3.3778812884813332e+16,13
32,14,4.762932700635204e+16,2
31,55,2.1177796678041784e+16,9
30,6,3.788538740499067e+16,2
29,9,,
28,4,5823063918930221.0,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
