Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1249.0047619048771,7
55,159,1688.0743169398047,3
54,62,1931.2873621457256,1
53,34,,
52,25,,
51,125,,
50,76,1818.3306941826827,45
49,137,3499.2598425346027,79
48,152,2511.2289105279237,63
47,221,1572.2928884401251,7
46,173,796.2035131067969,1
45,41,709.3535510551495,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3848.8747620238573,8
33,14,6510.744380957757,12
32,15,2098.5,2
31,53,5434.239197893002,7
30,8,4456.753994138911,2
29,9,,
28,4,584.1341324541718,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
