Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1284.0675000002375,8
55,158,1680.2992473117386,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,74,1936.1159584600869,43
49,134,3759.424333831358,74
48,158,2353.0796887270626,64
47,221,1254.854305173969,8
46,172,863.2223474606872,1
45,41,776.3176761566041,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,4137.975009484734,9
33,15,5891.453200858219,14
32,13,2098.5,2
31,55,5472.859594787729,9
30,5,6701.488292765338,1
29,10,,
28,4,523.2581168459728,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
