Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,7069.433065718913,8
55,158,9790.802638541287,3
54,62,3207.990860996768,1
53,34,,
52,25,,
51,125,,
50,78,18370.037365064083,47
49,132,4517.964293069053,76
48,150,5070.937459423062,58
47,228,3443.50922515621,9
46,171,5956.552484375425,1
45,41,7104.49227506062,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,2632.2054414505837,8
33,16,7121.602658540975,14
32,12,1421.2133764517494,1
31,56,5357.949886377125,9
30,6,2261.0093610491604,2
29,9,,
28,4,11443.868686627131,1
27,13,413.5529198953882,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
