Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1139.6499999999069,8
55,158,2152.3333333333335,3
54,63,2039.3999999999069,2
53,33,,
52,25,,
51,125,,
50,73,3222.516666666516,42
49,140,3936.5240506328923,79
48,154,2641.2569230769186,65
47,220,2274.375000000058,8
46,172,2439.0,1
45,40,2232.000000000233,2
44,1344,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,4221.812499999942,8
33,14,6196.658333333403,12
32,14,2284.0,1
31,55,4994.074999999953,8
30,6,9336.700000000186,1
29,10,,
28,4,7221.199999999721,1
27,13,3063.8000000002794,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
