Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1382.3900000001304,5
55,161,1772.2166666666355,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,76,1730.4833333332713,45
49,134,3596.0573455333574,76
48,157,2739.078998359873,65
47,219,1627.3177993214424,7
46,173,4978.4997246204875,1
45,41,1733.956746312945,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,1768.275836853194,8
33,16,4813.507927757521,14
32,12,2893.0361325447448,1
31,57,3362.343389462866,10
30,5,3978.668920625467,2
29,9,,
28,4,2302.4536425429396,1
27,13,5.729826851282269,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
