Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,1500.637142857071,7
55,158,1673.8419999997132,2
54,64,1826.252800000133,2
53,33,,
52,25,,
51,125,,
50,72,1919.490115309191,41
49,142,3306.384559929592,80
48,149,2376.9313501192364,61
47,224,833.2048918399378,8
46,172,584.8219650560059,1
45,41,1142.8349482663907,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,12,3634.3249644016446,7
33,18,4819.716019209009,15
32,11,1831.4483038722537,1
31,57,5211.403836075729,10
30,5,4783.354921781458,2
29,9,,
28,4,1673.643519999925,1
27,13,1123.9152029696852,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
