Iteration,SampleCount,P_TPERI,P_TPERI_Weight
58,72,2457128.508627388,9
57,180,2456817.237328434,3
56,81,2456833.7886893908,3
55,51,2455942.010088301,1
54,31,,
53,152,,
52,135,2454075.1095672906,98
51,214,2456358.6729662176,139
50,197,2453988.2458160836,90
49,284,2454031.196859271,20
48,186,2456144.57936936,2
47,50,2455870.071785813,4
46,1375,,
45,12,,
44,677,2452854.3118487042,1
43.0,4.0,,
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,,
36,15,2452062.7041319762,7
35,24,2450806.6351287873,16
34,14,2455351.068749715,2
33,60,2452960.1076688464,13
32,9,2451994.2982657556,2
31,16,2427865.6285566646,1
30,11,2457031.6187796905,1
29,18,2452479.1362512754,1
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
