Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,53,2128.6853020993995,5
55,161,2379.2025017049164,3
54,63,8151.987278176006,2
53,33,,
52,25,,
51,125,,
50,78,181400.05720807778,47
49,131,162924.6916359123,75
48,156,118304178.8633656,63
47,223,7872421741523.491,9
46,171,11270903189.944878,1
45,41,10288750103.116425,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,10260716818.212345,9
33,13,7796182408.082134,12
32,15,7766625617.007714,2
31,53,7297770135.16983,7
30,8,6005516755.411474,2
29,9,,
28,3,,
27,14,5641013812.0135145,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
