Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,6610.6228463225225,6
55,159,5559.64051838126,2
54,64,4316.157209514175,2
53,33,,
52,25,,
51,125,,
50,77,5711.258425043379,46
49,138,5875.926163348525,81
48,148,4976.30711390943,61
47,223,4101.329918188775,7
46,173,3211.876033902634,1
45,41,1864.568023827548,3
44,1343,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,7598.844155675931,7
33,15,7452.654146849294,12
32,15,2751.1017123972997,2
31,55,2186.277934511554,9
30,6,2955.904446876608,2
29,9,,
28,4,901.079093739856,1
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
