Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1405.2750000001397,8
55,157,1810.6999999999534,2
54,63,1188.8500000000931,1
53,34,,
52,25,,
51,125,,
50,73,1462.6833333332822,42
49,144,3282.8144578313713,83
48,148,2454.36290449179,63
47,220,2687.419189431394,6
46,174,7237.242461380549,1
45,41,3254.099929359431,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,2173.1568875769153,8
33,14,5553.956147977966,12
32,14,7986.806395103224,1
31,55,3058.3369960777927,8
30,7,3998.0957270385697,2
29,9,,
28,3,,
27,14,5525.634567493107,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
