Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,55,3220.129850153113,6
55,160,1868.8330086351682,3
54,63,1651.7200954740401,2
53,33,,
52,25,,
51,125,,
50,76,7896.438517872658,45
49,138,5003.911556587607,80
48,150,4351.89820975748,62
47,223,3857.678692457266,8
46,172,1116.6612360924482,1
45,40,2109.791142114671,2
44,1344,,
43,11,,
42,675,,
41,4,,
39,4,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3682.6493805001373,8
33,15,5649.830806414059,13
32,14,8151.36014692788,2
31,54,5843.498747544945,8
30,7,1361.478177526733,2
29,9,,
28,3,,
27,14,4579.7913783770055,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
