Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,1405.2750000001397,8
55,157,2047.3999999999069,2
54,62,,
53,35,,
52,25,,
51,125,,
50,74,1644.2360465115823,43
49,143,3675.271134029232,83
48,144,2529.1968700654124,59
47,225,2195.29057142052,7
46,173,6332.663473747671,1
45,40,1892.2626874786802,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,2238.5200202704614,9
33,15,5361.33505242564,14
32,11,,
31,58,4377.82868485502,10
30,5,4065.5881232030224,2
29,9,,
28,4,3653.9372652526945,1
27,13,1215.5562563212588,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
