Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,54,1325.9111111112095,6
55,160,1691.944444444341,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,72,2050.616320348231,41
49,140,3658.536776161693,78
48,152,2249.344670714112,62
47,223,1627.4472068364266,8
46,172,838.2525045471266,1
45,40,863.4182167886756,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,3891.1544576781453,8
33,17,5909.568230587337,15
32,12,2098.5,2
31,55,5700.19328226832,9
30,6,4491.960199214052,2
29,9,,
28,4,548.9483723295853,1
27,13,4006.1104209506884,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
