Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,57,755.0214285713488,7
55,159,1725.9666666666355,3
54,63,1262.9499999999534,2
53,33,,
52,25,,
51,125,,
50,73,1467.6452380951848,42
49,143,3193.0646341463903,82
48,144,2535.426531659913,58
47,228,2110.201828512829,9
46,170,,
45,42,3104.9738756169877,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1926.0461091169466,9
33,15,6240.231566803829,14
32,13,5567.472754984861,2
31,56,2613.9469786566683,10
30,3,,
29,11,,
28,4,8674.08020789735,1
27,13,5667.970824854914,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
