Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1477.2449999999371,8
55,158,1310.9346666663575,3
54,63,1852.5227999999188,2
53,33,,
52,25,,
51,125,,
50,78,1951.3810455421124,47
49,134,3498.625812637536,78
48,150,2515.948274622299,60
47,225,853.4441550796037,8
46,172,505.5559999998659,1
45,39,1612.6668159994297,1
44,1345,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,3259.9586025546305,8
33,16,5043.285248523179,14
32,12,2387.6588800000027,1
31,55,5132.032365771709,8
30,6,4165.086399999913,1
29,10,,
28,4,1673.643519999925,1
27,13,1130.762976102531,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
