Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,4860.786076595832,8
55,158,1354.2273662594769,3
54,62,454.02191390283406,1
53,34,,
52,25,,
51,125,,
50,75,11964.394355097478,44
49,138,4805.928177094842,79
48,149,4662.917950159404,60
47,224,3582.1299233535706,7
46,173,2357.2596184425056,1
45,40,1723.0635776186828,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,14,5340.109231911186,9
33,15,6502.418599966581,14
32,13,2235.2069160523824,2
31,54,5611.574132244801,8
30,7,11669.521265712334,2
29,9,,
28,4,12472.070035806857,1
27,13,3555.0886992760934,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
