Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,56,1045.4749999998603,8
55,157,1776.8999999999069,2
54,63,3393.6999999997206,1
53,34,,
52,25,,
51,125,,
50,80,2373.097959183603,49
49,132,3351.5179487179535,78
48,150,3016.569999999995,60
47,226,2355.222222222222,9
46,171,934.0,1
45,40,2188.5500000002794,2
44,1344,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,4044.4374999998254,8
33,13,6902.4818181818855,11
32,16,2527.5,2
31,54,6562.3499999999185,8
30,7,3039.399999999907,2
29,9,,
28,4,2853.7999999998137,1
27,13,2386.100000000093,1
26,6,,
25,67,,
23,3,,
18,1,,
16,1,,
