Iteration,SampleCount,P_TPERI,P_TPERI_Weight
56,58,8892.300530032138,8
55,157,13051.0897182154,2
54,64,10695.157245559618,2
53,33,,
52,25,,
51,125,,
50,75,14036.776842608995,44
49,136,5960.409317060707,77
48,155,6780.310221319378,64
47,222,5638.716466227702,9
46,171,1701.1188657004386,1
45,41,17098.966062557884,3
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,5982.337269793265,8
33,14,7027.881250284379,12
32,14,623.4662573663518,1
31,56,6179.407945166446,9
30,5,3833.4490199368447,1
29,10,,
28,4,19793.955157694872,1
27,13,777.5343690938316,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
