Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,352.6734996470588,51
55,144,340.1498888262022,139
54,72,363.01406127209043,53
53,40,415.52799666666664,30
52,23,324.193733,20
51,118,348.5472644921935,113
50,88,724.3962206058449,76
49,134,620.4905233478081,128
48,147,468.8248567589065,133
47,209,460.1376132304316,193
46,176,314.01204344096334,154
45,55,283.5658353517825,38
44,1220,295.9024710337466,1217
43,136,178.05979785344994,10
42,599,234.54432189243553,598
41,80,437.10372438606447,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
