Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,54,308.59692948875335,53
55,142,139.8821282282433,139
54,75,106.81089026522724,56
53,35,91.62193331418254,28
52,29,94.98545514193518,24
51,115,83.55133520172873,114
50,86,190.8578850780541,75
49,131,123.99075111323266,124
48,149,136.5923729878711,131
47,209,99.59240976846031,191
46,183,98.93849850218639,159
45,49,91.26317068012787,37
44,1218,127.15577887353318,1214
43,138,72.85242415208455,9
42,601,100.4890806430235,599
41,79,179.3738481033664,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
