Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,425.00616439947675,50
55,147,130.55461300308846,141
54,73,109.56721682029199,56
53,39,64.8815941024596,32
52,24,64.28969707735453,23
51,119,84.2931516328243,117
50,82,155.07055515159436,74
49,135,91.62715618416702,127
48,153,76.77717891688289,138
47,202,62.65619069787361,191
46,176,58.99098232830974,152
45,57,66.12059704263544,38
44,1207,53.801835194082734,1204
43,150,31.094659694989584,11
42,599,,
41,80,74.0207801359301,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
