Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,49,,
55,150,132.11959523415666,143
54,72,125.87457702327421,57
53,34,134.65146331129122,28
52,29,132.30770260344605,24
51,116,144.79023364232486,115
50,89,325.965659059825,79
49,127,135.72203450518512,124
48,153,116.57367501402393,135
47,209,96.98034842442752,195
46,172,103.14511763387148,152
45,57,92.84731720280689,38
44,1198,148.65591582467113,1195
43,158,59.720679888223685,10
42,608,93.73338958266773,607
41,72,104.84541686300841,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
