Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,,
55,151,333.8939608433028,147
54,64,365.6442310061544,53
53,42,429.4740072340292,32
52,23,279.88749248524346,22
51,119,343.89901369735173,116
50,84,727.5707770240675,75
49,136,635.8224898327692,129
48,147,466.0933474900401,134
47,212,462.83431230092185,197
46,177,308.30724977849445,159
45,51,288.98485877220287,39
44,1191,293.1505377317947,1189
43,165,219.2857887294143,11
42,596,,
41,83,346.2986584204923,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
