Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,49,,
55,156,329.0107489579011,149
54,65,359.01950008066103,56
53,37,420.0799174500309,30
52,24,273.6285970479452,21
51,114,354.4999506068817,110
50,87,712.9877803075656,72
49,140,630.4331236412644,130
48,144,471.29649943421873,132
47,208,461.0199118622068,191
46,177,307.37658470065986,153
45,51,302.99493427974693,33
44,1207,296.6929215735456,1199
43,155,220.95159754833583,11
42,616,,
41,62,424.56494277754535,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
