Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,312.97826472543034,49
55,147,159.30539282838623,140
54,69,198.484794234839,51
53,42,227.78011048332,30
52,27,283.4568523408642,24
51,112,194.19497652309403,111
50,90,53281141525.32801,76
49,139,14087.138120186219,133
48,143,152.15246152675257,134
47,209,613.6450893163067,194
46,173,534.5676279355947,152
45,57,267.99753919150595,38
44,1216,305.1101173675677,1213
43,139,188.5346147442756,9
42,602,288.6487344911788,600
41,78,382.5680561342836,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
