Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,273.06631748732525,49
55,154,144.489431668328,147
54,67,113.64703977039544,56
53,36,100.91120858212798,29
52,28,107.57120193223541,24
51,117,90.04945436412261,116
50,81,144.90923886393674,72
49,130,123.32167398281841,120
48,155,140.6050629801992,133
47,208,98.94352578496486,192
46,171,102.98407501833714,148
45,55,110.4924686443755,32
44,1229,129.35767902192748,1220
43,134,78.11299221652867,11
42,604,,
41,74,86.89302833470458,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
