Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,,
55,144,206.66076008633092,139
54,78,212.9768421694915,59
53,34,229.50326553333332,30
52,24,146.14915449523807,21
51,119,160.10945623652174,115
50,84,316.5998800297298,74
49,132,232.66648171580644,124
48,153,196.63595549896294,135
47,202,106.24498359991489,188
46,177,178.84353025733333,150
45,57,120.56035231613332,36
44,1216,210.91132599075146,1211
43,142,102.84404612000004,10
42,609,136.4464123748684,608
41,71,102.07075139999995,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
