Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,49,,
55,148,136.59525607832663,141
54,76,723.1856641969654,59
53,33,81.14407647783632,29
52,27,473.62761047864177,23
51,111,1045.0977395819261,109
50,87,12067332599.606909,71
49,143,564331.2742740504,132
48,150,759.0554523669424,140
47,202,390976.0482894752,193
46,176,96809.22827780293,154
45,55,939.5274291525025,38
44,1201,331.99182207708634,1198
43,154,961.6899629970324,9
42,609,246.4215375146437,607
41,71,161.80220304689217,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
