Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,,
55,145,142.40060372419194,140
54,70,105.71846427411239,52
53,40,89.12483796327867,29
52,29,104.11802462912927,25
51,114,,
50,84,151.46405691825393,73
49,135,119.7411656314373,126
48,145,139.45310112022523,129
47,210,100.06313234307571,190
46,178,96.66501663335991,153
45,55,104.90440534240871,37
44,1211,128.36059611215077,1207
43,145,79.85711410389632,9
42,618,109.6783295250592,616
41,63,150.7374961279856,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
