Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,49,,
55,147,143.20417293131092,140
54,71,142.545974330902,53
53,39,149.92157553239284,29
52,24,131.19690409150246,20
51,120,116.8046807633372,115
50,82,147.3041768824173,72
49,136,136.98538539233138,126
48,149,144.35702828052655,133
47,200,110.09254661553318,184
46,179,109.2494875802698,148
45,59,110.1926562528939,36
44,1236,123.82644622034034,1231
43,122,93.66958603365678,10
42,606,117.75506171555942,605
41,74,73.58009088782748,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
