Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,55,350.6312489689811,54
55,141,155.0837554984641,139
54,78,56.51053020345784,59
53,34,77.85272035300953,30
52,25,64.13142141888261,22
51,118,62.93058107250879,115
50,83,158.41715272556885,73
49,131,94.48222023369343,122
48,147,49.016345533318194,127
47,208,44.43879293487772,186
46,179,44.90751169266063,150
45,61,54.77772347246722,40
44,1220,51.46967137907326,1219
43,135,28.854767544383915,11
42,606,,
41,72,94.48023370019096,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
