Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,53,353.28748784615385,52
55,138,341.9944196984045,134
54,78,364.979059410483,54
53,39,401.27440837871967,30
52,26,314.39838372396616,23
51,117,344.9581945832593,115
50,83,713.2624940553137,73
49,133,640.6025590236595,124
48,147,459.553655622489,129
47,216,452.25425203953614,196
46,171,316.34554301846657,152
45,57,306.3695592082759,38
44,1213,296.861181849373,1210
43,143,224.51821934124405,10
42,614,231.96612249820586,613
41,65,437.70195669151775,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
