Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,,
55,150,52.80637881944443,144
54,69,15.419582727272717,55
53,39,17.317841290322562,31
52,22,16.47955500000002,20
51,117,20.746704196428567,112
50,90,24.882247623376635,77
49,131,12.209311984126984,126
48,144,14.406490624999995,128
47,213,8.425414213541668,192
46,179,8.892521000000002,156
45,49,8.944569117647069,34
44,1215,6.958531639072847,1208
43,145,1.0417680000000018,10
42,609,2.076258733552632,608
41,71,0.7408775000000105,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
